"Name","ResourcePath","Category","ArmsOnly","SizeKB"
"aemeath","agents/fys/aemeath/aemeath.vmdl","agents","False","1574.3"
"agent","agents/models/hmn_ag2/madness_combat/agent/agent.vmdl","agents","False","97.3"
"akatsuki sk2modellimitedcolision","agents/models/hmn_ag2/kantai_collection/akatsuki/akatsuki_sk2modellimitedcolision.vmdl","agents","False","1038.4"
"alice","agents/models/hmn_ag2/nikke/alice/alice.vmdl","agents","False","2237.6"
"alice mana","agents/models/hmn_ag2/vtuber/alice_mana/alice_mana.vmdl","agents","False","1086.6"
"allstar","agents/fys/zombie/allstar/allstar.vmdl","agents","False","300.3"
"alva","agents/models/hmn_ag2/dollsfrontline2/alva/alva.vmdl","agents","False","1533.5"
"alya","agents/models/hmn_ag2/roshidere/alya/alya.vmdl","agents","False","1088.1"
"alyss","agents/models/hmn_ag2/tower_of_fantasy/alyss/alyss.vmdl","agents","False","1091.2"
"amagi chan","agents/models/hmn_ag2/azur_lane/amagi_chan/amagi_chan.vmdl","agents","False","1714.7"
"anya","agents/models/hmn_ag2/spy_family/anya/anya.vmdl","agents","False","1055.9"
"artoria lancer","agents/models/hmn_ag2/fate_grand_order/artoria_lancer/artoria_lancer.vmdl","agents","False","892.8"
"asuna","agents/fys/asuna/asuna.vmdl","agents","False","793.3"
"asuna bunny","agents/models/hmn_ag2/blue_archive/asuna/asuna_bunny.vmdl","agents","False","1371.4"
"async hazmat suits","agents/models/hmn_ag2/backrooms/async_hazmat_suits/async_hazmat_suits.vmdl","agents","False","572.5"
"atlas","agents/models/hmn_ag2/portal/atlas/atlas.vmdl","agents","False","1008.4"
"bill","agents/models/hmn_ag2/left4dead/bill/bill.vmdl","agents","False","359.2"
"bronya","agents/maoling/honkai_impact/bronya/eva/bronya.vmdl","agents","False","763.7"
"camellya","agents/maoling/wuthering_waves/camellya/normal/camellya.vmdl","agents","False","832.8"
"cartethyia","agents/maoling/wuthering_waves/cartethyia/normal/cartethyia.vmdl","agents","False","946.9"
"celestia","agents/maoling/strinova/celestia/stellar_tide/celestia.vmdl","agents","False","865.3"
"celestia","agents/maoling/strinova/celestia/twilight_reverie/celestia.vmdl","agents","False","935.9"
"centaureissi","agents/models/hmn_ag2/dollsfrontline2/centaureissi/centaureissi.vmdl","agents","False","1172.3"
"cheeta","agents/models/hmn_ag2/dollsfrontline2/cheeta/cheeta.vmdl","agents","False","1138.7"
"chen qianyu","agents/models/hmn_ag2/arknights_endfield/chen_qianyu/chen_qianyu.vmdl","agents","False","1767.9"
"cheyanne","agents/models/hmn_ag2/dollsfrontline2/cheyanne/cheyanne.vmdl","agents","False","1946.6"
"chicken jockey","agents/models/hmn_ag2/zombie/chicken_jockey/chicken_jockey.vmdl","agents","False","78.3"
"chiffon angle","agents/fys/chiffon_angle/chiffon_angle.vmdl","agents","False","1200.5"
"chiitan","agents/models/hmn_ag2/japanese_mascot/chiitan/chiitan.vmdl","agents","False","158.7"
"chillet","agents/models/hmn_ag2/palworld/chillet/chillet.vmdl","agents","False","285.1"
"chisato","agents/models/hmn_ag2/lycoris_recoil/chisato/chisato.vmdl","agents","False","1406.8"
"chiyu","agents/models/hmn_ag2/vocaloid/chiyu/chiyu.vmdl","agents","False","1410.2"
"chloe","agents/models/hmn_ag2/vtuber/chloe/chloe.vmdl","agents","False","2073.9"
"claptrap","agents/models/hmn_ag2/borderlands/claptrap/claptrap.vmdl","agents","False","199.1"
"cloud strife","agents/models/hmn_ag2/final_fantasy/cloud_strife/cloud_strife.vmdl","agents","False","1768.8"
"collei","agents/models/hmn_ag2/genshin/collei/collei.vmdl","agents","False","836.7"
"columbina","agents/maoling/genshin_impact/columbina/normal/columbina.vmdl","agents","False","662"
"combine captain","agents/models/hmn_ag2/halflife/combine_captain/combine_captain.vmdl","agents","False","835.6"
"coralie","agents/fys/coralie/coralie.vmdl","agents","False","885"
"cyrene","agents/maoling/star_rail/cyrene/normal/cyrene.vmdl","agents","False","1065.3"
"dabuchi tabemi","agents/models/hmn_ag2/mcdonalds/imadake_dabuchi_tabemi/dabuchi_tabemi.vmdl","agents","False","1262.6"
"death machine pame","agents/models/hmn_ag2/zombie/death_machine_pame/death_machine_pame.vmdl","agents","False","653.2"
"dogmeat","agents/models/hmn_ag2/fallout/dogmeat/dogmeat.vmdl","agents","False","298"
"doro","agents/models/hmn_ag2/stellar_blade/doro/doro.vmdl","agents","False","241.2"
"drossel","agents/models/hmn_ag2/fireball/drossel_von_flugel/drossel.vmdl","agents","False","1053.7"
"ellen","agents/models/hmn_ag2/zenless_zone_zero/ellen/ellen.vmdl","agents","False","1075.1"
"ellis","agents/models/hmn_ag2/left4dead/ellis/ellis.vmdl","agents","False","371.3"
"endministrator","agents/models/hmn_ag2/arknights_endfield/endministrator/endministrator.vmdl","agents","False","1329"
"exusiai","agents/models/hmn_ag2/arknights/exusiai/exusiai.vmdl","agents","False","1315.9"
"faye","agents/models/hmn_ag2/dollsfrontline2/faye/faye.vmdl","agents","False","1243"
"firefly","agents/models/hmn_ag2/honkai_starrail/firefly/firefly.vmdl","agents","False","1111.6"
"flandre","agents/models/hmn_ag2/touhou/flandre/flandre.vmdl","agents","False","962.4"
"florence","agents/models/hmn_ag2/dollsfrontline2/florence/florence.vmdl","agents","False","1550.2"
"furina","agents/maoling/genshin_impact/furina/normal/furina.vmdl","agents","False","820.5"
"furina","agents/models/hmn_ag2/genshin/furina/furina.vmdl","agents","False","1158.5"
"fuwasaki","agents/models/hmn_ag2/tower_of_fantasy/fuwasaki/fuwasaki.vmdl","agents","False","1141"
"ganyu","agents/models/hmn_ag2/genshin/ganyu/ganyu.vmdl","agents","False","1426.3"
"gc","agents/fys/gc/gc.vmdl","agents","False","647.8"
"golden chillet","agents/models/hmn_ag2/palworld/golden_chillet/golden_chillet.vmdl","agents","False","197.8"
"goldship","agents/models/oylsister/uma_musume/gold_ship/goldship.vmdl","agents","False","857.3"
"goldship arms","agents/models/oylsister/uma_musume/gold_ship/goldship_arms.vmdl","agents","True","115"
"gordon freeman","agents/models/hmn_ag2/halflife/gordon_freeman/gordon_freeman.vmdl","agents","False","281.8"
"graf zeppelin","agents/models/hmn_ag2/kantai_collection/graf_zeppelin/graf_zeppelin.vmdl","agents","False","1320.8"
"grani","agents/models/hmn_ag2/arknights/grani/grani.vmdl","agents","False","1060"
"groza","agents/models/hmn_ag2/dollsfrontline2/groza/groza.vmdl","agents","False","1299.4"
"gsg9 css","agents/models/hmn_ag2/counter_strike_source/gsg9_css/gsg9_css.vmdl","agents","False","311.9"
"gura","agents/models/hmn_ag2/vtuber/gura/gura.vmdl","agents","False","1257.3"
"hanabi","agents/models/hmn_ag2/honkai_impact_3rd/hanabi/hanabi.vmdl","agents","False","926.4"
"hanako","agents/models/hmn_ag2/blue_archive/hanako/hanako.vmdl","agents","False","1599.7"
"hanako swimsuit","agents/models/hmn_ag2/blue_archive/hanako_swimsuit/hanako_swimsuit.vmdl","agents","False","1576.8"
"hel","agents/models/hmn_ag2/aether_gazer/hel/hel.vmdl","agents","False","1010.2"
"hibiki","agents/models/hmn_ag2/kantai_collection/hibiki/hibiki.vmdl","agents","False","912.9"
"hk416","agents/maoling/girls_frontline/hk416/starry_cocoon/hk416.vmdl","agents","False","1004.8"
"hk416","agents/models/hmn_ag2/dollsfrontline/hk416/hk416.vmdl","agents","False","1046"
"hl2 zombie","agents/models/hmn_ag2/zombie/hl2_zombie/hl2_zombie.vmdl","agents","False","170.8"
"hlalyx vortigaunt","agents/models/hmn_ag2/zombie/hlalyx_vortigaunt/hlalyx_vortigaunt.vmdl","agents","False","481.9"
"hlalyx zombie","agents/models/hmn_ag2/zombie/hlalyx_zombie/hlalyx_zombie.vmdl","agents","False","447.2"
"homelander","agents/models/hmn_ag2/the_boys/homelander/homelander.vmdl","agents","False","1222.5"
"hoshimachi suisei","agents/models/hmn_ag2/vtuber/suisei/hoshimachi_suisei.vmdl","agents","False","1562.8"
"hoshino","agents/models/hmn_ag2/blue_archive/hoshino/hoshino.vmdl","agents","False","1901.2"
"hutao","agents/fys/hutao/hutao.vmdl","agents","False","841.6"
"hutao","agents/models/hmn_ag2/genshin/hutao/hutao.vmdl","agents","False","1169.6"
"ikazuchi","agents/models/hmn_ag2/kantai_collection/ikazuchi/ikazuchi.vmdl","agents","False","1016.6"
"ikazuchi yukata","agents/models/hmn_ag2/kantai_collection/ikazuchi_yukata/ikazuchi_yukata.vmdl","agents","False","522.1"
"inazuma","agents/models/hmn_ag2/kantai_collection/inazuma/inazuma.vmdl","agents","False","1008.4"
